Hot_Inlet_Temp_C,Hot_Outlet_Temp_C,Cold_Inlet_Temp_C,Cold_Outlet_Temp_C,Hot_Mass_Flow_kg_s,Cold_Mass_Flow_kg_s,Overall_U_W_m2K,Plant_Power_Percent
310.6,291.0,213.7,266.5,15474.5,415.6,5689.0,58.4
309.2,290.3,212.1,266.5,15379.3,390.7,5582.0,55.2
319.2,291.6,219.9,272.5,15497.2,587.6,5583.0,81.8
320.8,292.4,221.8,274.3,15628.5,621.5,5671.0,85.3
308.9,291.6,211.1,264.0,15364.9,359.1,5631.0,51.6
324.6,291.7,225.3,276.5,15364.9,693.3,5611.0,96.8
308.7,291.0,211.5,265.1,15636.9,375.2,5677.0,52.6
317.3,291.2,219.4,271.9,15515.1,556.2,5601.0,77.1
320.7,291.9,221.9,274.2,15329.6,612.8,5620.0,85.5
323.3,291.5,224.0,276.5,15481.4,661.8,5699.0,93.5
321.1,292.1,222.2,275.6,15330.5,610.1,5705.0,85.7
321.5,291.2,222.6,275.5,15330.1,636.9,5705.0,90.1
313.9,291.0,215.3,269.2,15436.3,486.1,5611.0,67.0
322.8,291.8,223.9,275.5,15113.0,649.0,5686.0,90.7
309.5,290.9,212.2,265.5,15141.3,396.4,5576.0,54.0
325.5,293.0,224.8,276.8,15315.7,676.8,5577.0,94.7
318.0,291.5,218.8,271.8,15248.1,547.8,5503.0,77.4
322.2,291.5,223.3,276.5,15447.1,635.9,5703.0,90.9
316.1,291.3,217.8,271.1,15263.8,506.1,5575.0,72.6
318.7,291.1,220.2,273.4,15188.2,574.6,5611.0,82.2
317.4,291.6,218.7,270.8,15619.8,547.7,5570.0,76.3
320.8,290.9,222.5,274.4,15366.1,623.4,5650.0,86.6
309.9,291.8,212.6,266.4,15410.1,378.1,5595.0,54.1
308.8,291.1,211.5,265.0,15186.3,383.8,5547.0,53.0
312.4,291.0,214.9,268.2,15318.3,442.8,5633.0,62.4
310.6,291.1,212.5,267.0,15416.6,415.4,5538.0,58.0
324.6,292.7,224.7,276.7,15227.4,684.3,5567.0,93.6
311.8,291.2,213.9,267.0,15456.4,441.3,5502.0,61.0
326.5,292.7,226.2,277.1,15309.9,703.7,5535.0,98.8
314.5,291.3,216.0,269.3,15356.2,472.0,5614.0,66.8
311.5,291.4,214.1,266.5,15309.7,409.9,5506.0,59.1
322.4,292.1,222.8,275.5,15677.8,633.4,5529.0,89.5
320.1,291.9,221.4,273.1,15398.0,591.2,5601.0,82.9
316.0,290.3,218.5,271.2,15241.3,528.2,5573.0,74.9
317.9,291.5,219.4,272.1,15523.4,555.0,5699.0,77.8
321.4,292.4,222.0,274.5,15216.9,615.3,5690.0,86.0
312.1,291.3,214.0,267.0,15431.3,437.8,5553.0,61.4
325.2,291.5,226.4,278.8,15106.0,707.2,5623.0,99.8
325.5,291.9,226.1,277.8,15200.8,707.7,5632.0,98.7
320.6,293.0,221.1,272.8,15429.5,593.6,5563.0,82.5
312.2,291.6,213.9,267.0,15510.8,422.3,5517.0,60.0
320.2,292.0,221.8,273.9,15425.7,612.5,5590.0,84.0
309.8,292.0,212.3,265.3,15382.7,382.8,5581.0,53.6
308.4,291.1,210.8,265.2,15354.8,368.6,5567.0,51.5
311.8,290.5,215.2,267.8,15178.2,454.1,5609.0,62.9
315.9,291.0,217.6,270.7,15292.0,524.6,5548.0,73.1
324.4,293.1,224.7,276.1,15330.9,676.8,5527.0,93.4
321.0,291.3,222.5,274.9,15558.6,619.9,5589.0,86.4
321.2,291.5,221.7,274.8,15451.5,617.7,5602.0,87.1
315.5,291.3,217.5,270.1,15135.5,512.2,5522.0,71.3
315.2,292.8,216.0,268.4,15448.6,473.5,5626.0,67.3
315.5,292.4,216.3,270.0,15342.2,490.9,5490.0,68.6
326.9,293.0,226.8,277.7,15298.5,710.3,5549.0,99.4
308.6,291.0,211.1,264.5,15491.8,370.8,5563.0,52.0
323.8,292.0,224.1,276.7,15554.6,666.3,5543.0,93.4
317.7,290.8,219.9,271.9,15539.7,549.5,5546.0,78.9
316.6,292.6,217.9,269.8,15274.1,510.4,5666.0,71.9
320.5,290.9,222.1,273.6,15353.6,617.6,5529.0,86.3
316.9,292.2,218.9,271.4,15449.7,532.7,5692.0,74.3
323.2,291.8,224.7,276.4,15546.3,660.1,5591.0,93.7
323.9,292.1,224.1,278.2,15328.1,691.5,5573.0,95.0
315.2,291.0,217.2,269.8,15372.2,502.1,5591.0,71.1
312.7,291.1,214.9,267.8,15234.0,462.7,5692.0,63.8
318.4,291.1,220.3,272.4,15220.6,572.7,5515.0,79.6
324.1,291.7,224.1,277.3,15521.9,677.5,5507.0,95.6
312.2,291.9,215.1,267.0,15603.4,443.6,5524.0,60.5
318.7,291.6,220.8,273.3,15389.2,570.5,5562.0,81.1
319.5,291.6,220.8,272.8,15550.5,590.8,5473.0,81.6
